priogrid_gid,pg_xcoord__old,pg_ycoord__old,country_iso_a3__old,admin1_gaul1_code__old,admin1_gaul1_name__old,admin1_gaul0_code__old,admin1_gaul0_name__old,admin2_gaul2_code__old,admin2_gaul2_name__old,pg_xcoord__new,pg_ycoord__new,country_iso_a3__new,admin1_gaul1_code__new,admin1_gaul1_name__new,admin1_gaul0_code__new,admin1_gaul0_name__new,admin2_gaul2_code__new,admin2_gaul2_name__new,presence,change_class
125671,15.25,-2.75,COG,1194.0,Plateaux,116.0,Congo,102235.0,Ngo,15.25,-2.75,COG,1194.0,Plateaux,116.0,Congo,102235.0,Ngo,both,identical
125672,15.75,-2.75,COG,1194.0,Plateaux,116.0,Congo,102235.0,Ngo,15.75,-2.75,COG,1194.0,Plateaux,116.0,Congo,102235.0,Ngo,both,identical
125673,16.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102416.0,Bolobo,16.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102416.0,Bolobo,both,identical
125674,16.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102423.0,Mushie,16.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102423.0,Mushie,both,identical
125675,17.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102423.0,Mushie,17.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102423.0,Mushie,both,identical
125676,17.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102421.0,Kutu,17.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102421.0,Kutu,both,identical
125677,18.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102421.0,Kutu,18.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102421.0,Kutu,both,identical
125678,18.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102421.0,Kutu,18.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102421.0,Kutu,both,identical
125679,19.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,19.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,both,identical
125680,19.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,19.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,both,identical
125681,20.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,20.25,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,both,identical
